City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bethel,41.3712,-73.414,56.28,77,90,0.0,US,1636511626
Hasaki,35.7333,140.8333,64.8,52,100,23.96,JP,1636511897
Geraldton,-28.7667,114.6,72.12,35,40,16.11,AU,1636512054
Kapaa,22.0752,-159.319,80.92,68,20,5.75,US,1636511938
Vaini,-21.2,-175.2,82.56,89,75,9.22,TO,1636511864
Ushuaia,-54.8,-68.3,62.26,31,0,5.75,AR,1636511786
Pevek,69.7008,170.3133,3.15,96,100,4.38,RU,1636511947
Jamestown,42.097,-79.2353,55.29,86,90,1.01,US,1636511886
Egvekinot,66.3167,-179.1667,9.61,84,52,6.22,RU,1636512056
Tiksi,71.6872,128.8694,5.97,95,100,4.14,RU,1636511886
Yellowknife,62.456,-114.3525,23.29,95,20,12.66,CA,1636511887
George Town,5.4112,100.3354,80.53,87,40,1.99,MY,1636511901
Airai,-8.9266,125.4092,75.72,62,98,2.53,TL,1636512057
Puerto Ayora,-0.7393,-90.3518,69.28,86,31,7.54,EC,1636511880
Qaanaaq,77.484,-69.3632,2.79,66,94,10.67,GL,1636511865
Hilo,19.7297,-155.09,80.33,77,20,12.66,US,1636511891
Esperance,-33.8667,121.9,60.64,57,100,12.84,AU,1636511881
Roald,62.5833,6.1333,50.14,66,75,23.02,NO,1636512059
Sarangani,5.4033,125.4636,84.0,75,30,16.8,PH,1636512059
Bredasdorp,-34.5322,20.0403,47.52,87,59,1.14,ZA,1636511947
Kirkwall,58.9848,-2.9587,47.97,77,40,18.41,GB,1636512060
Cape Town,-33.9258,18.4232,58.12,77,0,4.61,ZA,1636511878
Bambous Virieux,-20.3428,57.7575,76.21,83,20,5.75,MU,1636511883
Rikitea,-23.1203,-134.9692,75.27,79,99,19.66,PF,1636511867
Mataura,-46.1927,168.8643,62.38,79,100,5.23,NZ,1636511860
Saskylakh,71.9167,114.0833,-13.77,100,40,6.26,RU,1636511902
Gulābpura,25.9,74.6667,73.53,27,32,1.57,IN,1636512061
Perm,58.0174,56.2855,24.26,80,75,13.42,RU,1636512062
Filingué,14.3521,3.3168,84.22,17,0,3.4,NE,1636512063
Port Elizabeth,-33.918,25.5701,50.29,93,0,5.75,ZA,1636511917
Busselton,-33.65,115.3333,64.29,42,0,4.65,AU,1636511864
Severo-Kuril'sk,50.6789,156.125,40.26,79,97,11.43,RU,1636511973
Mahébourg,-20.4081,57.7,76.24,83,20,5.75,MU,1636511908
Punta Arenas,-53.15,-70.9167,53.71,47,20,25.32,CL,1636511874
Albany,42.6001,-73.9662,54.57,81,90,2.91,US,1636511781
Kiunga,-6.1219,141.2906,93.79,51,99,3.06,PG,1636512065
Cabo San Lucas,22.8909,-109.9124,81.7,76,40,6.91,MX,1636511916
Tiznit Province,29.5833,-9.5,52.34,56,1,0.78,MA,1636512065
Elizabeth City,36.2946,-76.2511,60.03,76,1,5.75,US,1636512066
Castro,-24.7911,-50.0119,59.63,88,94,10.42,BR,1636511963
Longyearbyen,78.2186,15.6401,31.84,64,40,19.57,SJ,1636511957
